id,language,text,stars,label_text
en_0420807,en,"Would recommend!!!

Product does take up a lot of usb ports and a little loud but if it's not something you need everyday it's not big deal. Overall I would recommend. Seller is exceptionally amazing!",5,4
en_0198618,en,"Very cheaply made

It tore at the seam after having it for a week",1,0
en_0416503,en,"Wrong color

We ordered the pink shirt but it was not the color that was on the listing. We needed a baby pink color for a dance performance and it came as more of a dark pink color. The style and fit were great but we had to return it because it was the wrong color.",3,2
fr_0626064,fr,"Sac antivol avec toutes les fonctionnalités qu’on attend d’un sac à dos Pour ordinateur

Produits bien conçu original seul petit défaut la coque renforcée est un peu fragile le dessus a eu une fissure au bout de trois semaines. Malgré cette fissure le sac ne s’est absolument pas déchiré on peut dire que le tissu est très résistant",4,3
en_0644700,en,"Comfortable

The best sports bra I’ve had. Great if you have a large bust size. Comfortable and supportive.",5,4
en_0002372,en,"Did not get instruction manual

I expected cheap, but at the very minimum expected instructions. None were included. This ended up being so frustrating!",1,0
en_0409526,en,"Disapointing

I have several HOT TOOL items. This is the first hair dryer I purchased from them. It does NOT stay Hot!! I've had better dryers for less money!",2,1
en_0814661,en,"Four Stars

Great movie. I paid a little more to get the Digital copy!",4,3
fr_0310381,fr,"Bel oracle de Marie

Un coup de coeur malgré une pixelisation des lames (d'où une étoile en moins dû à la qualité). Un oracle attachant aux belles illustrations, au coeur de Marie. Je recommande!",4,3
fr_0295568,fr,"joli monté

je l'ai reçu avec les portes rayées car mal protégées mais comme il est dans un couloir sombre on ne voit pas",3,2
fr_0438209,fr,"Le feu stop ne fonctionne pas

Les fils sont inversés et même mal soudés donc le feu. Le support de plaque est correcte mais le feu est inutile, et imposible de contacter le vendeur",1,0
en_0574934,en,"Missing glove, dirty guard, customer service MIA

Did not include the safety glove promised in the description. Food guard was dirty--appeared used. Emailed the customer service account on the included card Sunday afternoon and have not received a reply as of 8:30 pm Monday. I will update my review if the seller fixes their errors.",1,0
fr_0834241,fr,"Protege bien

C'est la protection idéale pour vos iPhone. Le seul problème est la couleur ! Le modèle transparent tourne très rapidement au jaune. C'est pourquoi je me suis tourné vers une autre couleur dégradé bleu au rose et une toute rose pour ma chérie !",3,2
fr_0304920,fr,"Je n'ai jamais eu l'ouvrage.

Je n'ai jamais eu cet article et le vendeur ne me répond pas pour savoir ou est l'ouvrage. Cela fait fait plus de deux semaines que mon fils l'attend.",1,0
fr_0435858,fr,"cartable star wars

Moyen car les coins ont cédés très vite, les sangles se détaches vite. un peu déçu du cartable. Solidité à revoir",3,2
en_0111033,en,"Easy to use

The couch cover works. Size is good, color is ok and I will find out how good this product is when I wash it few times.",4,3
en_0866134,en,"Buy it!

Works great! I got sick of going to the doctor and spending $30 every other month to get my earwax removed from impacted ears! I soften up my earwax with hydrogen peroxide, then i blast it with this syringe and it just comes flying out of my ear, it doesnt hurt at all, in fact it tickles.",5,4
en_0376612,en,"Cute, but multiple bags needed.

The colors were cute and girly. Perfect for our 1 year old daughter. The balls are not very sturdy. She is able to squeeze them, I make sure not to crush them if I get in the pit with her. 1 bag is definitely not enough. We bought 3 bags of 200 balls and maybe could have even gotten away with one more.",3,2
en_0588086,en,"Worst assembly instructions ever!!

I just put this together so I can't comment on the reliability or function of the product yet. What I can say is that the poorly translated instructions for assembly are just awful. Word of advice is read them from cover to cover, important info is on the front cover about lining up arrows on the outer discs. Also pay careful attention to how the center divider is seated and how the plastic pegs line up into the holes as I had to coax a few of them into alignment. I had to disassemble mine a bit to get the center divider seated properly. Once that was corrected it went together fairly well and is square and level.",4,3
en_0030248,en,"Good for Dog with Sensitive Stomach

I have an Aussie mix who will have stomach issues with sometimes just the slightest change of food. I've been giving him the Wag wild boar flavor for about 6 months now, and he's had very few issues since. There was the expected transition period hurdle, but that only lasted about a day or two. The only negative is he doesn't seem thrilled with the flavor - I would often have to call him over to eat, and he would sort of trudge over... eventually. However I recently discovered that he will gobble down the whole bowl if I just put a little bit of wet food (the extra-wet kind that looks like ""human"" stew) on top. So we seem to have found a winning combo there.",4,3
fr_0101482,fr,"Offert pour noël

Dvd offert à noël à ma fille, elle était ravie, mais maman un peu moin la boite etait abîmé.",3,2
en_0077261,en,"Box corners crushed in

A birthday gift for my granddaughter. She will love it but the package came all bunged up. Corners smashed. I wouldn’t mind if it weren’t for her birthday. K-Mart shipped it. With Amazon that wouldn’t have happened.",2,1
en_0757265,en,"I liked it

Interesting story and semi-detailed descriptions of sweat lodge experiences. The lack of a revenge motive was refreshing. It did seem to be a little juvenile in places but overall an entertaining read.",3,2
fr_0725290,fr,"verre trop petit pour un J3

Je suis déçue car le verre est plus petit que le téléphone. Pas bon pour un J 3 c'est dommage.",2,1
en_0297209,en,"Lazy way to clean

Really ez to use, easily beats flossing",5,4
en_0737292,en,"Will block screen if there are screens on the backs of headrests. Not comfortable on seats that don't recline

The difficulty I had with using these is that you it goes around the entire headrest -- which means that if the seats have video screens on the backs of them, you're going to be obstructing the person's view behind you! So that's not an option. On seats without video screens I did use it, but it was really awkward and my head was held in this straight upright position which actually wasn't that conducive to sleeping. If you're on Spirit or Frontier where the seats don't recline -- really not comfortable unfortunately.",1,0
