id;language;review_full;aspect_manuel;sentiment_manuel
fr_0618778;fr;"Couleur

Après lavage en respectant les recommandations ils ont rétréci de 10 cm, concernant la couleur blanc pâle gris ils son plutôt gris";Qualité;0
fr_0828111;fr;"oui mais bof

Fonctionne très bien mais ne s’insère pas complètement : moindre mouvement inopiné le déconnectera ( sur un bras de télé qui est manipulé souvent c'est pas garantie ).";Qualité;0
fr_0840614;fr;"Léger et pratique

Tient ses promesses : léger et pratique, il permet d'alléger sa valise. Incassable.";Qualité;0
fr_0915037;fr;"bon transfo pas assez emballé

emballage écrasé et déformation du boitier. Sinon, bonne qualité";Livraison;0
fr_0240895;fr;"Bon produit

Un goût correct la poudre est très fine par rapport à d autre marque un bon packaging par contre pas de cuillère doseuse . Un bon rapport qualité / prix je recommande ce produit";Prix;2
fr_0311184;fr;"Beaucoup trop de fautes d'orthographe et autres coquilles. Le livre n'a pas été relu. Dommage que la forme ne suive pas le fon

Livre intéressant sur le fond mais bâclé. Quel dommage qu'il n'ait pas été relu. Trop de fautes d'orthographe et même de français.";Qualité;0
fr_0946083;fr;"A rembourser

En moins d un mois l écran de protection à carrément fissuré sur plusieurs endroit des morceaux verres sont partis je sais pas où hors qu il n est jamais tombé j dis juste remboursé";Qualité;0
fr_0348527;fr;"La qualité de la poche en plastique est médiocre

Le sac dans son ensemble est plutôt agréable malheureusement la qualité de la poche en plastique est médiocre, après une utilisation et le dos mouillé, je me suis aperçu que la poche était percé. Déception pour ma part,";Qualité;0
fr_0555442;fr;"Macro pas chère

Un début dans la macro";Prix;2
fr_0137432;fr;"jeu intéressant

jeu assez compliqué au premier abord, plus pour des adultes que pour des enfants, intéressant il faut bien étudier les explications avant de démarrer le jeu.";Qualité;2
fr_0773888;fr;"bon produit

il fait le travail qu'on lui demande : démarrage rapide, les jeux charge plus vite et les transfère de fichier d'un SSD à un autre SSD son extrêmement rapide..";Qualité;2
fr_0323320;fr;"Ce n'est qu'un gadget qui ne sert à rien

Je me suis basé sur les avis pour acheter ce produit. Malheureusement ce n'est qu'un gadget en ABS de mauvaise qualité avec un filtre papier et un pseudo filtre à charbon. Complètement inefficace et inutile. Produit renvoyé";Qualité;0
fr_0036430;fr;"Bien

Tee shirt a la matière suffisamment agréable pour faire du sport. De plus il est relativement ample ce qui laisse de la liberté de mouvements. Et la couleur est sympa !";Qualité;2
fr_0801843;fr;"Ordinaire !

Peinture peu couvrante, faible tenue , manquant de fluidité, et le rendu est très moyen (couleur artificielle) Bof, bof ! Je ne recommande pas";Qualité;0
fr_0580542;fr;"Barrière arrivée tordue et deux trop grande

J’ai acheté cette extension de barrière pour protéger mon petit garçon des chutes. La barrière tordue à sa réception et deux fois trop grande pas du tout standard avec la barrière je ne suis pas satisfaite de cet achat.";Livraison;0
fr_0836641;fr;"ADAPTATEUR USB RECEPTEUR SANS FIL PC Gaming Receiver Pour Xbox 360 Manette

ne fonctionne pas avec windows 10 ne le reconnais pas,je suis déçu";Service;0
fr_0205298;fr;"TRES BON PRODUIT

Très bonne qualité, ces bonnettes s'adaptent bien à mes micros et atténuent bien les 'pop pop' et le vent. Seul petit bémol : le délai d'expédition est assez long.";Livraison;0
fr_0395345;fr;"Dommage

Arrivé avec bouchon cassé et à moitié vide! Je ne recommande pas!";Qualité;0
fr_0745253;fr;"Rempli bien son utilité

Jolie petite table toute mignonne a passé 2 mois dehors ne sais pas décoloré attention toutefois de ne pas poser de choses trop lourde dessus car se déforme un peu mais pour le prix ça vaut le coup";Prix;2
fr_0981232;fr;"S’adapte correctement

Nous verrons à l’experience Mais cela s’adapte correctement sur le verre de la’ montre.";Qualité;2
fr_0043052;fr;"Si vous avez des animaux, n'achetez pas cette machine!

Cet aspirateur est facile à utiliser mais n’est pas assez puissant pour tout autre nettoyage. Même une petite feuille ou un morceau de papier bloque le tube et il doit ensuite être nettoyé pour que le nettoyage prenne deux fois plus de temps. Si vous avez des animaux, n'achetez pas cette machine car elle ne peut pas ramasser les poils sans être complètement bloquée. Le clip d’ouverture du réservoir de poussière est déjà cassé. En général, j'en suis très déçu.";Qualité;0
fr_0669374;fr;"Satisfaisant

Correspond à la description, objet solide. Un bémol : les fixations ne sont pas fournies : à nous de trouver des vis qui soient assez discrètes et quelque chose d'assez solide pour soutenir le poids des vêtements.";Qualité;2
fr_0351061;fr;"gros problème

appareil garantie 3 ans seul problème comment joindre le vendeur ou simplement amazone et bin pas possible";Service;0
fr_0497676;fr;"Très bien au début mai depuis 15 jrs ne fonctionne plus !!!!!!!

Au début très satisfait mais depuis une quinzaine de jours des que la température extérieur est inférieure à 17 degrés, il ne s affiché plus !!!!! Malgré des piles neuves, etc., rien y fait !!! Donc en gros il aura fonctionné 1 mois et demi ou alors c est un appareil prévu pour les pays chauds..... Donc appareil tout simplement neuf et déjà inutilisable... Je pense qu il serait au minimum nécessaire de nous le changer par un produit fonctionnant !!!!!!!! Difficile de le recommander dans cette situation.........";Qualité;0
fr_0878470;fr;"Efficacité

Utilisation multiples et toujours satisfait... Résiste aux intempéries.";Qualité;2
fr_0810885;fr;"Livraison incomplète

Un seul flacon livré, alors qu'il s'agissait d'un lot de 2 flacons";Livraison;0
fr_0460407;fr;"Problème de transmission entre télécommande et voiture

Marche une fois sur deux je regrette mon achat car ma fille s énerve plus que elle ne s amuse";Qualité;0
fr_0078817;fr;"Très pratique et discret

Ce qu'il y a de bien avec ce format c'est sa discrétion et le confort. En plus on peut mettre facilement une petite boite dans son sac à main. Je les utilise depuis des années.";Qualité;2
fr_0360804;fr;"Un rendu affreux le soir

Je ne recommande pas ce produit. Le rendu en journée peut passer mais la nuit avec l éclairage le rendu est affreux. J ai dû acheter un autre produit dans un magasin de bricolage où un vendeur m a conseillé.";Qualité;0
fr_0529964;fr;"Ne pas acheter !

Le plexi se fend dès la moindre pression.";Qualité;0
fr_0665410;fr;"qualité

tapis très fagile, impossible à laver";Qualité;0
fr_0259092;fr;"N adhère pas à la chaise haute de ma fille

Ma fille d un an arrive à le décoller";Qualité;0
fr_0362218;fr;"Bien mais mon chien les enlève ...

Chaussons parfaits si ma chienne ne les enlevait pas ... il faudrai revoir le système d’attache avec peut être plutôt des clips ou un système de tissu élastique qui se rabattent sur les scratchs pour pas que le chien puisse les enlever ...";Qualité;0
fr_0209743;fr;"Il n'était pas précisé qu'il n'y avait pas de couvercle de protection. Ce qui est indispensable pour éviter de devoir laver

Pas de couvercle de protection'Un grave défaut qui condamne à laver à chaque fois les différents i gradients de la machine";Service;0
fr_0302556;fr;"Satisfait

J'étais plutôt septique lors de l'achat, au vu de la matière utilisé pour ce ce presse-purée, mais j'en suis finalement très satisfait.";Qualité;2
fr_0928309;fr;"decu de la qualite

Bonjour, la présentation du coffret est très bien . par contre a l'intérieur déçu les pièces ne sont pas découpées en totalité , donc l'assemblage plus long et difficile . j'espère que d'ici la fin de la construction , il n'y aura pas d'autres surprise";Qualité;0
fr_0583527;fr;"Luminosité un peu faible

Produit intéressant pour remplacer une ampoule halogène 80w E14. Mais la luminosité est inférieure. C'est décevant par rapport à l'équivalent 100w annoncé...";Qualité;0
fr_0515057;fr;"Nul

Ne colle pas du tout sur les bord. Le film ne tient pas sur l'écran au bout d'une heure j'ai tout jeté. Quelle honte de vendre ça 10€";Prix;0
fr_0824283;fr;"Câbles défaillants

Certaines des câbles dans le pack ne marchent pas et au bout de 5-7 mois d’utilisation le câble n’est pas pris en charge par les iPhones .";Qualité;0
fr_0744840;fr;"pelle fiable et efficace

conforme au descriptif";Qualité;2
fr_0129688;fr;"Arnaque

Produit inefficace, le produit est une pâte et les flacons sont arrivés vides tous les 2. Absoulement inutile et une arnaque totale. D ailleurs les commentaires positifs si t tous a la même date. Ce qui confirme qu ils sont faux. Amazon ne m avait pas habitué à de telle";Service;0
fr_0288449;fr;"Colis non livré

La commande ne m'a pas été livrée dans ma boîte aux lettres alors que sur le site Amazon, il est indiqué Livré !! C'est inadmissible et inacceptable.";Livraison;0
fr_0323602;fr;"Super

Ma fille de 5 ans passe ses journée à joué avec très ludique elle peut créer plein de puzzles différents idéal pour un cadeau";Qualité;2
fr_0463367;fr;"L'éclairage au plafond est tres bien

Réveil très bien pour ma fille de 8 ans et très girly!";Qualité;2
fr_0347196;fr;"Produit cassé

Produit conforme à la description cependant 2 ampoules cassées sur les 10. Le colis Amazon était en bon état, donc le problème vient en amont.... De plus la livraison était prévue initialement le 3 septembre mais j'ai été livré le 5.";Service;0
fr_0729686;fr;"Déçu, une des 2 lampes ne marche pas

Le détecteur de mouvement ne fonctionne pas sur une des 2 lampes... bref qualité produit approximative.";Qualité;0
fr_0212429;fr;"Aucun problème pour les piles, dommage pour l'erreur de livraison !

J'ai commandé des piles et j'ai reçu un livre de poche en espagnol... Le délai de livraison a été respecté mais dommage pour l'erreur ! Du coup j'ai du refaire une commande. Cette fois j'ai bien reçu ce qui était prévu. Les piles fonctionnent bien et elles périment en 2022.";Livraison;0
fr_0554447;fr;"Bien mais peu précis

Acheté à l'origine pour un TPE, il fait bien son boulot de rotation, mais est assez mal calibré, il tremble assez rapidement cependant c'est tout de même un objet très intéressant. Petit plus : j'ai trouvé sa boite très sympathique";Qualité;1
fr_0157956;fr;"Description fausse

Aucune explication en français. Contrairement à ce que il y a d annoncé non compatible avec lecteur empreinte. Retour direct.";Service;0
fr_0541852;fr;"Ne commandez pas !!!

Produit non reçu une première fois Le vendeur propose un autre envoi que j’accepte malgré le délai Toujours pas reçu À ce jour j’attend le remboursement ... Je déconseille fortement cet article";Service;0
fr_0098072;fr;"👍

Livré dans les temps. Figurine conforme a la commande. Bonne qualité . Je recommande . . . . . .";Livraison;2
fr_0385881;fr;"Transaction impeccable.

Il est encore un peu trop tôt pour évaluer le produit en lui-même, mais il me semble déjà commencer à faire de l'effet (moins de piqûres de moustiques depuis deux nuits). La livraison a été rapide, ponctuelle et le rapport qualité/prix me paraît très satisfaisant. Qui plus est, avec de la chance, nous n'aurons même plus besoin d'utiliser de l'anti-moustique dans la maison, c'est donc une économie supplémentaire en vue. Bref, le temps dira, mais en attendant tout semble parfait!";Prix;2
fr_0711218;fr;"Fonctionne correctement

Réparation d un petit trou dans une piscine tubulaire intex";Qualité;2
fr_0271363;fr;"Merveilleux

Un plaisir pour les oreilles";Qualité;2
fr_0953428;fr;"Produit ok

Le produit est conforme aux attentes mais la boite est arrivée cassée, les perles s étaient répandues dans le colis";Livraison;0
fr_0200662;fr;"Verre Trempé pour Samsung Galaxy S9 Plus

Très bien, bon rapport qualité-prix.";Prix;2
fr_0372843;fr;"Jamais recu

Je mets 1 etoile car il faut en mettre une mais je ne peux pas evaluer cet article car malheureusement je ne l'ai jamais recu. Je suis en attente du remboursement.";Livraison;0
fr_0296724;fr;"Cartoville toujours pratique

City trip de 7 jours à New York. Cartoville est incontournable super pratique par son mini format que l’on emporte dans son sac à chaque déplacement. J’apprecie énormément les différentes cartes par zone et les incontournables qui s’y rapportent, relativement complet même pour les petites astuces et restos du coin. Forcément il faut trier la liste des incontournables en fonction de ce qui nous correspond. En résumé, cartoville NYC est une très belle approche pour réussir votre séjour.";Qualité;2
fr_0552744;fr;"pas mal

produit impeccable irréprochable a conseiller pour d autre personne car sa marche nickel je regrette pas de l avoir acheter";Qualité;2
fr_0337921;fr;"Etiquettes de la taille que je souhaitais

Ce sont de petites étiquettes qui sont parfaites pour identifier les flacons de mélanges d'huiles essentielles (pour ma part) mais aussi tout autre produit ou pour le classement. Que dire, il y en a beaucoup pour un prix sympathique!";Prix;2
fr_0534620;fr;"Pratique mais pas top

il ne faut pas être trop regardant sur la finition du produit pour démonter une poulie sur son axe pas de problème à partir du moment ou vous avez assez de prise pour les ergots. Comme les ergots sont mal finis dès que la prise est un peu fine les ergots ripent et ne tiennent plus.";Qualité;1
fr_0735785;fr;"Pratique

Produit qui répond tout à fait à nos attentes. S'adapte facilement à notre mitigeur. Très pratique pour les enfants en bas âge.";Qualité;2
fr_0362787;fr;"Parfait

Utilisé pour ma box. Parfait. Livraison rapide.";Livraison;2
fr_0568018;fr;"Manette du mitigeur qui s'abîme

Robinet pour notre salle de bain. La manette a été changée une première fois car la partie métallique se dégradait. Et là ça recommence. Je ne recommande pas...";Qualité;0
fr_0759925;fr;"Parfait

Produit conforme à la photo. Livraison rapide. Il faut un adulte avec l enfant pour utiliser le coffret mais ça permet de faire une création commune. Le rendu est assez sympa, il faut prendre le coup de main";Qualité;2
fr_0469914;fr;"nE VA PAS SUR UN S7

Le verre trempé ne recouvre pas toute la surface du téléphone samsung s7 et en plus il ne colle pas sur les bords à ne pas acheter.";Qualité;0
fr_0187387;fr;"Damn

Parfait pour le beer pong";Qualité;1
fr_0414309;fr;"trousse docteur

trois étoiles par ce que bien que les petits objets de la trousse soient nombreux pour du plastique le tarif est trop élévé";Prix;0
fr_0672172;fr;"pas encore essayé

pas encore essayé , je ne peux donc avoir un avis que sur l'aspect et cela semble tout à fait correct.";Qualité;1
fr_0206719;fr;"Conforme

Conforme à la commande et livraison rapide.";Livraison;2
fr_0831344;fr;"Difficile d'ouvrir les pinces

Rien à dire sur le prix ou la livraison. Seul problème, la pince est très dure à ouvrir.";Qualité;0
fr_0617285;fr;"disque diamant

Article bien emballé . Reçu très rapidement. Très bonne qualité.";Livraison;2
fr_0075187;fr;"Une feuille qui sait se faire discrète

Voilà une protection assez épaisse mais qui ne nuit pas au contact tactile. Elle est un peu courte en hauteur, mais sans gêner la protection du verre. A voir si l'adhérence tiendra dans la durée.";Qualité;2
fr_0412679;fr;"Débit insuffisant pour le Rift S

J'ai acheté cette rallonge pour l'utiliser avec l'Oculus Rift S. Malheureusement, le débit est insuffisant et perturbe beaucoup trop le suivi des mouvements du casque (nombreuses saccades).";Qualité;0
fr_0229956;fr;"Son excellent mais absence de connectivité Bluetooth

Malgré un son étonnant pour un appareil de ce volume, l'absence de connectivité via Bluetooth est regrettable - pourtant annoncé sur le site Amazon France.";Service;0
fr_0427906;fr;"Très bon câble

Utilisé pour connecter mon écran oled à sa barre de son. Pour que le câble soit parfait, il aurait fallu que la tête coudée soit orientable. Câble de très bonne qualité et supportant le débit 4K sans aucun problème. Très bon achat";Qualité;2
fr_0283315;fr;"Chargeur induction

Bonjour, Je n'ai pas reçu de câble USB avec ce chargeur... Où en faire la demande ? Merci d'avance. Cordialement...";Service;0
fr_0664511;fr;"Comme papa et maman!

A fait grand plaisir à notre petite-fille de 4 ans.";Qualité;2
fr_0775111;fr;"la montre n'est pas en acier mais en plastique

Le bracelet est en métal, mais le boitier de montre est en plastique gris-beige recouvert de peinture métallisée. Avec le temps la peinture métallisée s'efface et ne reste que le plastique gris-beige. La fonction éclairage marche au début mais elle ne dure pas longtemps. Elle faiblit de plus en plus, puis ne marche plus du tout. Le bouton pour l'éclairage, qui est mauve au départ, devient lui aussi gris-beige, de même que les boutons sur les côtés pour régler l'heure. Malgré ces désagréments esthétiques, la montre continue d'afficher l'heure correctement. Voici une photo avant et après :";Qualité;0
fr_0301448;fr;"Trop gadgets

Silicone trop souple, du coup ne fait pas l’effet prévu";Qualité;0
fr_0547545;fr;"Decue

Remontoir cassé au bout de 2 jours. Retard livraison de 2 semaines car colis perdu. Par contre efficacité du sav.";Livraison;0
fr_0441143;fr;"Erreur

Je n'ai pas reçu le bon modele";Service;0
fr_0993607;fr;"Semoir

Beau produit conforme à nos attentes";Qualité;2
fr_0807606;fr;"Satisfaisant

Bon rapport qualité/prix, reste à voir combien de temps elles tiennent.";Prix;2
fr_0613856;fr;"Dérouleur

Dérouleur vraiment très sympa, facile à accrocher; article conforme à ce que j'attendais";Qualité;2
fr_0005701;fr;"Moyen..

Couleur plus clair au final que sur la photo. Renvoyée.";Qualité;1
fr_0662210;fr;"Excellent plus pour nintendo Switch Lite

Ce kit est réellement complet pour permettre la protection au maxi de la Nintendo Switch Lite.";Qualité;2
fr_0832872;fr;"Génial !

Super produit. Parfait pour les cochons d'Inde, lapins et furets . Solide, facile à monter, nombreuses possibilités . Remplace avantageusement une cage pour un prix équivalent.";Qualité;2
fr_0777340;fr;"Bon produit

Très bonne petite ""cave"" à vin. Elle fait bien son travail et est très esthétique. Elle prend peu de place. Je ne sais pas si elle a un moteur car elle est d'un silence absolu.";Qualité;2
fr_0472748;fr;"Bonne coque

vraiment de bonne facture. content de l'achat !";Qualité;2
fr_0575268;fr;"basique

J'ai aimé les informations reçues. Cependant j'ai déjà eu l'occasion de lire des documents beaucoup plus complets. Pour le prix c'est satisfaisant.";Prix;2
fr_0802108;fr;"A fait la joie d’une enfant de 10 ans

Je l’ai offert à ma petite fille de 10 ans qui l’a beaucoup aimé.";Qualité;2
fr_0986897;fr;"Un véritable confort..

Utilisé au festival de Jazz à Vienne.. un vrai confort surtout pour le dos qui a un appui.. Bon produit Assise peut être un peu mince..";Qualité;2
fr_0488549;fr;"Produit nul

Ce produit est nul Acheté avec une passerelle, je n'ai jamais réussi à le faire fonctionner plus de 2 ou 3 jours. Les pertes de connections entre les capteurs et la passerelle sont fréquentes. La passerelle est inutilisable après un hard reboot car la mise à jour est impossible Le service client est injoignable et aucune réponse aux mails envoyés ...";Qualité;0
fr_0096179;fr;"vendeur bidon

article jamais reçu!!!!!! mais payer!!!! je suis obliger de mettre 1 étoile sinon mon commentaire.nest pas pris en compte!!! MAIS 0 0 0 !!! VENDEUR BIDON";Service;0
fr_0169580;fr;"Bon rapport qualité/ prix

Doux au toucher, mes filles l'adorent, tres bon rapport qualité prix, avec les princesses Disney. Il remplit bien sa fonction";Prix;2
fr_0982168;fr;"Peu efficace

Pas assez puissant, l'effet est surtout psychologique. D'ailleurs, quand il tourne, il se fait bruyamment remarquer ! Achat très moyen.";Qualité;1
fr_0511874;fr;"piano

bon piano, plusieurs chutes et toujours en vie, le son est de bonne qualité pour le prix. Il ne casse pas trop les oreilles des parents, réglage du volume, son d'animaux, petite fonction enregistrement... 5 étoiles car il correspond à ce que j'attendais en qualité prix.";Prix;2
fr_0762078;fr;"Bof

Pas efficaces contres les fouines";Qualité;0
fr_0015422;fr;"très bon produit

housse qui s'adapte parfaitement à la planche avec une très haute qualité pour un repassage facile - article à choisir sans risque";Qualité;2
fr_0747859;fr;"Un peu fragile

Bien mais un fragile Dommage qu’il y a des trous dessus Mais sinon très bien";Qualité;1
fr_0156589;fr;"Erreur de produit

Bonjour suite à une erreur de commande comment puis je faire pour faire un échange, je voulais un kit xenon H7 et pas H1. Merci Bien a vous";Service;0
fr_0909488;fr;"super

super pour notre voiture 208";Qualité;2
fr_0568980;fr;"La qualité est au rendez-vous

Peluche de très bonne qualité. Couture et finition impeccable.";Qualité;2
fr_0973527;fr;"Le chargeur ne marche plus après un mois

Reçu il y a un mois , le chargeur ne fonctionne plus. Très séduite au début grâce à un câble long donc pratique Mais plus d utilité";Qualité;0
fr_0494029;fr;"Vérité sérieux rapide

Il est moyennement bon";Qualité;1
fr_0489096;fr;"Colis pas livré

Je n’ai pas reçu ce colis qui n’a jamais été livré contrairement à ce que le livreur déclare";Livraison;0
fr_0129391;fr;"Très bon produit mais bagues fragiles

Excellent produit, simple à poser (j’avais des têtes Danfoss). Simple d’utilisation. Juste les bagues en plastique sont fragiles j’en ai cassé une, donc attention lors de la manipulation.";Qualité;1
fr_0424549;fr;"Correct

L’esthetisme n’etait pas le critère, ça fait un peu canapé de grand parents mais le tissu est doux, facile à nettoyer les poils de chat si on s’en laisse pas envahir. Mis sur deux canapés de 3 places en cuir Sky qui étaient défoncés et c’est quand même pas même plus propre.";Qualité;1
fr_0507937;fr;"ne correspond pas à l'image

j'ai commandé cet arcticle or j'ai recu des invitations emoji mais le dessins n'est pas du tout le meme! decue!";Service;0
fr_0009274;fr;"Où est ma commande passée il y’a 1mois

J’attend toujours ma commande !!!!";Service;0
fr_0813707;fr;"Bof

piles livrés avec l'emballage d'origine ouvert! Cela met le doute sur les piles … !!!!";Service;0
fr_0900290;fr;"Pas le meilleur de la collection

J’ai joué à de nombreux exit et c’est la première fois que je suis déçue. Énigmes tirées par les cheveux, impossible de le donner à quelqu’un d’autre après, contrairement à la plupart des autres boites car on doit vraiment détruire une partie.";Qualité;0
fr_0744443;fr;"citronnier 4 saisons

produits conforme cependant et ce malgré un très bon emballage de protection le citronnier a énormément été secouer pendant son transport ceux qui a eut pour consequence plusieurs branche casse . en espérant que le citronnier reprenne vite de la vigueur";Livraison;0
fr_0136382;fr;"très bien

je connaissais le produit, tout est parfaitement conforme, livraison avec un jour de retard, imputable à la poste? Je recommande.";Livraison;0
fr_0333330;fr;"beau produits mais cassé à son déballage

article cassé à son déballage: en attente du retour du vendeur pour recevoir un nouveau produit";Livraison;0
fr_0669468;fr;"Après quelques mois d'utilisation l'article s'est complètement déformé

J'ai acheté le presse citrons en Juillet dernier et j'ai remarqué qu'après quelques mois d'utilisation il s'était complètement déformé et n'était plus du tout rond (je ne suis pas le seul à être dans ce cas apparemment). Je sais toujours insérer des citrons mais je dois un peu jouer pour les faire rentrer et pour presser je dois le faire en plusieurs fois, le presse citrons ne fermant plus (voir 2eme photo). Je n'ai jamais mis l'article au lave vaisselle de peur qu'il s'abime du coup je ne comprends pas d'où peut venir cette déformation. L'article étant réputé comme de QUALITÉ PREMIUM et comme un INVESTISSEMENT POUR LA VIE selon le vendeur je suis un peu surpris. Je sais encore l'utiliser mais s'il continue à se déformer ca va devenir compliqué. Un peu déçu par le produit en fin de compte.";Qualité;0
fr_0655173;fr;"Asséchante

Sur la peau au lieu de matifier, elle assèche";Qualité;0
fr_0743998;fr;"Très satisfaite

Correspond parfaitement à la description.";Service;2
fr_0437915;fr;"Belles imitations

Bonne qualité, par contre ils ne sont pas plastifiés";Service;0
fr_0738019;fr;"Résolution d'image désastreuse

Soit disant c'est l'original c'est pas possible l'image est pourrie vraiment dessus payer pour ça une honte";Qualité;0
fr_0553443;fr;"Décu

Ne fonctionne plus apres plusieurs semaines d’utilisation C’est fatigant ces cables qui durent jamais Du mal a croire que ce soir du MFI";Qualité;0
fr_0595855;fr;"SDS non conforme

SDS carré ne rentre pas dans le mandrin un gros O ne pas acheter";Qualité;0
fr_0882659;fr;"Magnifique

Excellent livre Détente assurée";Qualité;2
fr_0417731;fr;"Qualité de fabrication correcte

Qualité de fabrication correcte, un peu grande pour barbecue Weber série Q. Article d'un bon rapport qualité / prix";Qualité;1
fr_0394161;fr;"Moyen

Ce tunnel et tente est bien mais pas adapté pour des grands chats Trop léger et toile fine qui résiste mal aux griffes Heureusement ce n’est pas trop cher!";Prix;2
fr_0957954;fr;"Cartouche hs

Cartouche ouverte au déballage, bille de charbon dans l'eau bref nul";Service;0
fr_0977113;fr;"Très pratique

Pour stocker des costumes, ça a été une très bonne solution - facilement nettoyable à l'éponge, ils a très bien remplis sa mission principale sans aucun soucis. Pour le stockage dans une grange de gros vêtements c'est parfait .Belle qualité et bel esthétique. Je suis très satisfait de la qualité générale de construction. Une petite déception pour la fermeture, il ne faut pas trop charger le sac car sinon ça force sur la fermeture et risque de casser. C'est bien pratique pour transporter facilement ses affaires et ses habits !";Qualité;2
fr_0915573;fr;"Je suis déçu...

Les produits coule dans leurs emballage en étant bien fermé ... Déçu";Qualité;0
fr_0466639;fr;"Défectueux

Banc reçu défectueux (mauvais soudage d'un pied rendant le banc instable). L'assise ne m'a pas paru très agréable non plus. Banc renvoyé. Merci à Amazon pour le remboursement très rapide.";Qualité;0
fr_0855182;fr;"Moyen

Certaines résistances n'ont pas résisté, voir même cramé direct !! Delai de livraison correct ...Conforme a la description ce qui n'est pas toujours le cas";Qualité;1
fr_0711243;fr;"Sa performance

Très bon produit bonne qualité je le recommande";Qualité;2
fr_0841705;fr;"Bien

Bon produit mais le manche est un peu court";Qualité;1
fr_0669220;fr;"Produit correct livraison nulle

A priori la serviette est correcte et reçue dans les temps cependant le livreur Amazon à a jeté le paquet au-dessus du portail alors qu'il y avait personne et la laissé là sous la pluie comment qualifiée une telle attitude ?";Livraison;0
fr_0973237;fr;"Bof

Ne correspond pas à la taille";Service;0
fr_0754319;fr;"Médiocre par rapport à d'autres

La plupart des protections pour écrans sont fournies avec des petits guides autocollants qui permettent de bien positionner la protection, pas celle-ci. Premier essai : la protection glisse un peu au moment de la poser, elle part de travers, obligée de l'enlever. Une fois enlevée, plus possible de la remettre. Deuxième essai avec la 2e protection fournie : au moment d'enlever le film autocollant, plein de poussières viennent s'accrocher à la partie qui colle, rendant la protection inutilisable. Tout à jeter.";Qualité;0
