id,language,text,stars,sampling_source,target_candidate,quality,price,delivery,service
fr_0363217,fr,"Son prix

Pour une poubelle que jai fait retour trop grande imposible d'avoir le bon couvercle toujour non disponible sa devient chian ou plus fabriqué mdr",4,enriched,price,négatif,neutre,absent,absent
en_0378474,en,"Beautiful colors

nice shirt for the price",5,enriched,price,positif,positif,absent,absent
en_0280467,en,"One Star

Product was not packaged well. It leaked all over and the cap was broken in pieces.",1,natural,none,négatif,absent,négatif,absent
en_0419339,en,"Tint was too dark

Nice little mirror but the tint was too dark for me makes it hard to see,returned for refund .",4,enriched,service,neutre,absent,absent,absent
en_0782609,en,"Great product

Great product for cold smoking or if your pellet grill needs just a tad bit more smoke! Would definitely recommend purchasing this item!!!",5,natural,none,positif,absent,absent,absent
en_0547550,en,"Really small

I felt like it wasn't really worth my money",2,enriched,price,négatif,négatif,absent,absent
fr_0394476,fr,"Ça peur aller

Plutôt pas mal mais les traces de doigts sont très visibles. Je pense qu'il est légèrement trop grand en largeur les touches des côtes sont difficile à avoir avec le tactil",3,natural,none,négatif,absent,absent,absent
fr_0003635,fr,"Boffff

Sa colle pas terrible mais bon pour le prix sa va",2,enriched,price,négatif,neutre,absent,absent
en_0677469,en,"Used product

This product supposed to be new but what I got was a used one, and it doesn’t work correctly. If I could give it zero “0” star, I'd do it. What I really want is my money back.",1,natural,none,négatif,absent,absent,absent
en_0959975,en,"shattered screen protector

The case is great, I absolutely love it. I purchased this case because it came with a tempered glass screen protector. The instructions say ""pull"" to get protector out of package. Upon doing so the entire thing shattered. So friggin bummed but it's a brand new phone and I'm not waiting another two weeks to return this one and receive a new one so I'll keep the case and order a new screen protector from another company.",1,natural,none,négatif,absent,absent,absent
fr_0484007,fr,"DVD ou cd

Reprise de chansons d'anciens albums alors que je m'attendais à un enregistrement type concert; néanmoins agréable de réentendre ce mix d'anciens tubes. Belle pochette, 3 beaux CD sur un support dépliant . Seul bémol l'affichage des titres sur la pochette correspond a chaque CD.",3,enriched,service,positif,absent,absent,absent
en_0449267,en,"Disappointing

This got a lot of buzz and the organization and story weaving was interesting but none of what they covered felt fresh or new and no strong conclusion offered.",3,natural,none,négatif,absent,absent,absent
en_0929515,en,"The feeling of the mouse

It is okay not the best but good enough and it's kind of small and just overall moderate",3,natural,none,neutre,absent,absent,absent
en_0028030,en,"They don’t all work

I ordered a rose pink one and it worked great so I ordered 2 more a black and a red one. The black one never charges. And the red only sometimes I don’t get it. Wish it was more consistent. I will be asking for a refund for the last 2.",1,enriched,service,négatif,absent,absent,absent
fr_0005615,fr,"Bien pour entraînement.

Bien mais quand on transpire des mains et que en retire les gants ils faut après ce laver les mains car ça salit les mains.",3,natural,none,négatif,absent,absent,absent
fr_0609461,fr,"bon rapport qualité prix

bon rapport qualité prix",4,natural,none,positif,positif,absent,absent
fr_0574221,fr,"Tabouret

Cote du fauteuil déchiré",2,natural,none,négatif,absent,absent,absent
fr_0098221,fr,"Chargeur e cigarette

Chargeur traditionnel, correspond bien à l'usage que l'on attend de lui, le prix est très Raisonnable... Livraison rapide et soigné.",5,natural,none,positif,positif,positif,absent
en_0631023,en,"Do not buy!

Love the look but not good quality. The 1st one I ordered arrived broken. Got a replacement and it only lasted about 2 months. The return period is closed and now I'm stuck with two pieces of marble. 😠",1,enriched,service,négatif,absent,négatif,absent
en_0884807,en,"Three Stars

It doesn't change color to say when it is full, but I think it works.",3,natural,none,neutre,absent,absent,absent
en_0545299,en,"Pig Dog Toy, by Kong

I've had this for about 2 weeks now and my dogs have not destroyed it yet.. Surprising.. I will for sure be buying more from this company. The dog toys are made really well.",5,natural,none,positif,absent,absent,absent
fr_0421362,fr,"n'a pas fonctionné longtemps : permet d'écouter mais plus de charger (faux contact)

usage très modéré, quelques fois par mois",2,natural,none,négatif,absent,absent,absent
en_0818261,en,"Wasn't very steady on my dog's head

It was too top heavy but I distracted her enough to take a picture lol. Love the fact it comes with numbers so you don't have to keep buying another crown for the year of the birthday.",4,natural,none,négatif,absent,absent,absent
fr_0070966,fr,"Fermeture pas pratique

J’ai dû renvoyer l’article car le fermoir du bracelet ne se clipsait pas. Je ne l’ai pas recommandé car le système de fermeture n’est pas pratique quand on est pressé. Dommage car la montre est bien jolie.",3,natural,none,négatif,absent,absent,absent
en_0170522,en,"Where are those darts I paid for?

Great dartboard but the description says it comes with darts. My order just arrived without any darts - order was incomplete.",3,enriched,delivery,positif,absent,négatif,absent
en_0434251,en,"Irresponsable and unresponsive seller

I haven’t even received it yet to write a review and it’s been a month! Sent an email through the link and the seller hasn’t contacted me yet and that was 2 weeks ago. Don’t buy from this seller. Irresponsible and thieves!",1,enriched,delivery,absent,absent,négatif,négatif
fr_0388641,fr,"Bon produit et bien concu pour des tv lourdes

Bon produit et robustes inclinaison verticale large mais aucune pour horizontal dommage S'est pour sa j enlève une étoile à la note",4,natural,none,positif,absent,absent,absent
en_0615602,en,"Bad, Bad, Bad Experience; Grounds Everywhere

Pros: water heats fast; that's it Cons: grounds go everywhere. I have at least 8 different brands of K-cups and, depending on the K-cup, the size of the mess ranged from absolute disaster with a lot of grounds in my coffee to significant inconvenience with only a few grounds in my coffee. Having never owned a K-cup type coffee maker, I thought this was normal. However, after spending an average of 10-20 minutes cleaning this thing up every time I made coffee, I had enough. Luckily it was just before the 30 days were up so I returned it for a full refund. I then got a K200 that has worked perfectly (the most cleanup I've ever had to do is wipe a drop of coffee off the counter). I'm soooooo much happier.",1,enriched,service,négatif,absent,négatif,absent
fr_0594199,fr,"Bien mais....

Le coffret est arrivé bien abîmé c’était pour un cadeau je suis très déçue ... De plus arrivé à la saison 3 des problèmes de lecteur de plusieurs dvd le dernier est intégralement illisible alors qu’il est neuf .....",2,natural,none,négatif,absent,négatif,absent
fr_0211618,fr,"bache sur pergola

oui elle est étanche contre un grain normal a condition quelle soit bien soutenue , exemple sur un pergola comme nous et oui elle résiste au mistral a 80km/h au dessus je pence qu'elle ne tiendrais pas le coup. oui elle filtre bien le soleil et oui elle résiste pour l'instant a la chaleur. Le prix et juste ce qu'il faut .",4,enriched,price,positif,absent,positif,absent
en_0817494,en,"Four Stars

Great storage place for hats.",4,natural,none,négatif,absent,positif,positif
fr_0333558,fr,"etiquettes

Arrivées rapidement par la poste - 2 lots. Jolies étiquettes. J'ai suivi les instructions mais dès le premier lavage (30°) les 2/3 des étiquettes se sont partiellement ou totalement détachées du support (linge de lit, appliquées sur la partie indiquant la composition, etc..). Dommage, retour au marquage traditionnel.",2,natural,none,positif,absent,positif,absent
en_0305923,en,"Difficult to Clean and Freezes in Winter

The idea is good, but the overall is just okay. The birds like to drink from the cup and it does automatically refill which is nice, but when the sand or debris gets in it, it isn't able to be detached and cleaned which makes it difficult to keep clean. In the winter, the water in my bucket stays above freezing, but the small tube freezes up and the mechanism inside does too so it doesn't work in the winter until you bring it inside at night. I'm looking for a different solution.",3,natural,none,négatif,absent,absent,absent
en_0031636,en,"It does make my skin soft and you see that ...

It does make my skin soft and you see that scrub but it’s dry and it gets my skin irritated",2,natural,none,négatif,absent,absent,absent
fr_0864997,fr,"super petit, et aucun confort

taille trop petite et mauvaises indications sur les tailles réelles... 1er article que je retourne sur le site... très déçu le soir en ouvrant le colis : aucune tenue du produit, le chien direct sur le sol sans aucune protection .... juste bon pour déposer un oiseau !!",2,enriched,delivery,négatif,absent,absent,absent
en_0403662,en,"Sexy skirt, zipper needs help

Would have given 5 stars, but the nylon zipper keeps getting stuck and is difficult to get it past the waist band. Otherwise and excellent value.",4,enriched,price,positif,absent,positif,positif
fr_0496842,fr,"Je recommande

Super très fonctionne sans problèmes livresion rapide",4,natural,none,positif,absent,positif,absent
en_0277923,en,"LED light that lasted less than a month

The light bulb lasted less than a month. VERY poor quality.",1,natural,none,négatif,absent,absent,absent
fr_0308271,fr,"Qualité plus que moyenne

Dommage, le kit est arrivé avec une boîte cassée, donc les perles étaient mélangées. Et on voit bien que ce sont des imitations Aquabeads. Le rendu est moins beau, les perles laissent plus de couleurs au séchage...",2,natural,none,négatif,absent,négatif,absent
fr_0329205,fr,"Attache trop fragile

Cette lampe souffre d'un gros défaut de fabrication au niveau de l'attache. Celle-ci se casse rapidement (moins de 6 mois) malgré un usage normal. Plusieurs amis ont rencontré le même problème. Et le vendeur refuse d'appliquer la garantie. Et aucun moyen de réparer.",1,enriched,service,négatif,absent,absent,négatif
en_0591395,en,"If you like a fast coffee filter (I

If you like a fast coffee filter (I, like most, prefer a slow one) then this might be for you. Faster = a weaker cup of coffee, obviously. So you either use more coffee (expensive) or settle for less than what you want (disappointing). Either way, you lose.",2,enriched,price,négatif,négatif,absent,absent
en_0349010,en,"Keto Vegetarian

This book could be a fountain of knowledge important to your health. This book is a game changer for those curious about attempting a replacement sort of ingestion. It's a fast browse and extremely informative.",5,enriched,service,absent,absent,absent,absent
fr_0301877,fr,"Bien mais chère

Ma fille en voulait depuis longtemps! Chère pour des marqueurs mais ils fonctionnent très bien et les couleurs sont sympa",4,natural,none,négatif,négatif,absent,absent
en_0930323,en,"Snug

Arrived feeling damp and had a weird smell almost fishy. Fits snugger then I wanted it too even though I ordered the 4x and I normally wear a 24-26 depending on fit. Washing the item now so I hope it washes well.",2,enriched,delivery,négatif,absent,neutre,absent
en_0285352,en,"Not good for iPhones

Only used it for 3 days. Every time I plug my phone it says it’s not compatible with this device.",3,natural,none,négatif,absent,absent,absent
fr_0236686,fr,"Ma commande

Sur les trois il y en avait un de percer donc vide je ne sais pas si sa vient de vous ou du transporteur",1,natural,none,absent,absent,négatif,absent
fr_0927170,fr,"Les embouts d'aiguille se tordent facilement

Beaucoup de jeu dans le pousse aiguille",3,natural,none,négatif,absent,négatif,absent
en_0947689,en,"Not worth it.

So flimsy you cannot even use it. Also took so long to arrive. Wish I could return it but it’s too late.",1,enriched,service,négatif,absent,négatif,absent
en_0215525,en,"Quality

Awful Too expensive for a piece of paper",1,enriched,price,négatif,négatif,absent,absent
fr_0117104,fr,"Meilleurs Rapports Qualité Prix

Matériel de très belle qualité également un son de qualité avec des basses présentes",5,enriched,price,positif,positif,absent,absent
fr_0997520,fr,"Retour du trottinette

Bjr j'ai déjà acheté cette trottinette electrique mais malheureusement je l'ai essayé et elle ne dépasse pas 13 km/h comme vitesse contrairement a se qu'ils sont indiqués 30 km/h c sa seulement le problème",2,enriched,service,négatif,absent,absent,absent
en_0410008,en,"Not bad

These work well for if you don’t have a lid for an item, but they have some room for improvement. They didn’t stay as snug as I would have liked, and if a container were to tip it might leak somewhat.",4,natural,none,négatif,absent,absent,absent
fr_0765336,fr,"pas de problèmes

articles livrés conformes à ceux commandés, sans casse à l'arrivée et sans dysfonctionnement à l'installation",4,enriched,delivery,positif,absent,positif,absent
fr_0963182,fr,"commande non reçu

bonjour: je vous signale que je n'ais pas reçu ma commande , d’après votre message, le colis a bien était livré chez moi , vous pouvais savoir ou est donc passer mon colis , merci",1,natural,none,absent,absent,négatif,absent
fr_0786798,fr,"Livraison

Malheuresement, mais il n'ya pas encore un livraison! Je ne sais pais cet qaund J'espere cet bientôt a la fin",1,natural,none,absent,absent,négatif,absent
fr_0273963,fr,"reponse a la reception

je vous trouve cher pas rapport au commerce je m attendais a mieux vu la description. Pas tres contente.",2,enriched,price,négatif,négatif,absent,absent
en_0595872,en,"... wish the sleeves were a little longer but not bad for the price

I wish the sleeves were a little longer but not bad for the price.",3,enriched,price,neutre,positif,absent,absent
fr_0771684,fr,"Pas reçu le colis à ce jour délai pourtant dépassé

Le colis n’a pas été reçu alors qu’il était prévu au Maximum hier il n’est pas arrivé à destination chez moi",1,enriched,delivery,absent,absent,négatif,absent
fr_0614356,fr,"Je suis excité avec ces

Cela m'a donné envie d'essayer plus de styles créatifs sur mes cheveux. Je suis excité avec ceux-ci et je fais toujours de nouveaux styles dans la salle de bain.",4,natural,none,absent,absent,absent,absent
en_0403857,en,"Great dance shoes

Great dance shoes. Quality was good, these ran a tad larger than expected. The width is a little wide. Overall, worked for my daughter who has a growing foot. Price was great and fast delivery.",4,enriched,price,positif,positif,positif,absent
fr_0807981,fr,"Livré sans bouchon et pas plus efficace qu'une laque classique pour cheveux

Le flacon a été livré sans bouchon ! Des laques à cheveux font aussi bien l'affaire et coutent largement moins cher. Je n'ai pas trouvé de différence marquante même pour du ABS.",1,enriched,delivery,négatif,négatif,négatif,absent
en_0777570,en,"Won't hold a charge

I've had this phone a little over a month and all of a sudden it just stopped holding a charge. It will charge to 100% and then as soon as I unplug it, it dies and won't turn back on until I charge it completely again. I can't even use it. Waste of money.",1,natural,none,négatif,absent,absent,absent
fr_0605420,fr,"Norton adore!!!

Parfait pour mon terre neuve. Aliment très complet, digestion impeccable, je continue encore 2mois puis je passe sans hésitation au junior!!!",5,natural,none,positif,absent,absent,absent
fr_0483517,fr,"vraiment nul

a peine utiliser ils ce sont tout casser très mauvais achat malgré leurs petit prix je regrette sincèrement sa mérite un remboursement",2,enriched,price,négatif,positif,absent,absent
en_0340059,en,"Looks and works great - questionable durability

What can I say... it's a soap dispenser. It fits great in my daughter's pineapple-themed bathroom. It looks nice, and the soap dispensing works as expected. Why only 3 stars? One of the plastic ""leaves"" on the top of the dispenser was broken right out of the package. We just kind of put that part toward the back, and it didn't seem worth sending it back over, but it was disappointing regardless.",3,enriched,delivery,positif,absent,négatif,absent
en_0452224,en,"Was mailed empty box so be careful!

I love this bra it works very well and is supportive and long lasting. I’ve ordered it many times. However, when I re ordered I was mailed an empty box and I’m now stuck with the cost of 2 bras I never received. So be weary.....",1,natural,none,positif,absent,négatif,absent
fr_0680540,fr,"Bien pour petits

Bien pour enfants petits. Par contre pas beaucoup de pages mais bon pour le prix ça va. Papier de bonne qualité.",5,enriched,price,positif,positif,absent,absent
en_0958343,en,"it works!

Works as well as the original stylus. and this one has not (yet) gotten lost.",5,natural,none,positif,absent,absent,absent
en_0095348,en,"Amazing customer service

While the product didn’t work for me, the customer service that I received was nothing short of AMAZING. The team is based out of the Asia area, but even through the vast time zone differences, they were very responsive and worked with me through the setup. The watch worked in certain areas, but in my house and along my street, there were so many deadzones that it just didn’t serve the purpose that I was hoping it would serve. I’d highly recommend the team behind the company! Try the watch out in your own area and maybe it’ll work better for you!",4,enriched,delivery,négatif,absent,absent,positif
en_0847675,en,"You shipped it where??? I don’t live in that state!

I never received these items, the seller shipped it to PA. I live in Arkansas, I sent 3 emails asking her for assistance and no response. Finally contacted amazon and they refunded money.",1,enriched,service,négatif,absent,négatif,négatif
en_0063128,en,"I don’t like the controls

The iron does it’s job. I don’t like the controls. Hard to see the settings. I wouldn’t buy it again because of that. Cord return works well so far.",3,enriched,service,négatif,absent,absent,absent
en_0278959,en,"Comfortable soles, but the straps...not so much.

The right foot strap was bent and folded significantly over to the left (much more than the picture shows - picture taken after two weeks of use) causing my right foot to hang over the inside edge of the sole, sometimes touching the ground. I thought I could bend it back with use and placing heavy books on it each night and it’s slowly coming back to center. It was pretty uncomfortable walking like that at first, and I would’ve returned them the first day if I knew it’d take this long for the strap to get back to normal. Other than that, the price was good and the sandals look alright.",3,enriched,price,négatif,positif,absent,absent
fr_0737001,fr,"Idée cadeau au top

Cadeau offert à ma tante. Elle l’adore, agent immobilier elle sort et rentre beaucoup de sa voiture et l’ouverture inversée est géniale pour cette fonction. Elle reste au sec même assise au volant",4,natural,none,positif,absent,absent,absent
en_0939447,en,"Cool idea

Kinda cool for.the price Got 3 and gave them as gifts.",5,enriched,price,positif,positif,absent,absent
en_0755346,en,"One Star

Horrible quality. Copy of a picture, not a poster. Extremely disappointed in purchase.",1,natural,none,négatif,absent,absent,absent
fr_0231553,fr,"Non reçu

Article jamais reçu, remboursement rapide",1,natural,none,absent,absent,négatif,positif
fr_0057470,fr,"Adapté

Simple et facile de programmation et d utilisation",4,natural,none,positif,absent,absent,absent
en_0612138,en,"Three Stars

product not bright enough",3,natural,none,négatif,absent,absent,absent
fr_0627378,fr,"Je n'ai pas reçu le produit

Je suis désolé, je n'ai pas reçu le produit, de plus le paiement a été traité sans que je clique sur confirmer, j'ai également demandé à l'annuler mais cela ne s'est pas produit. Je ne m'attendais pas à cela d'Amazon, s'il vous plaît rembourser mon argent.",1,natural,none,absent,absent,négatif,négatif
fr_0782253,fr,"Vraiment très déçu

Vous vous douchez tous à l'eau froide ? Première utilisation et après 10s d'eau chaude, la buée apparaît..aussi efficace qu'un miroir à 5€. Je mets une étoile car la ventouse est vraiment très solide ainsi que son bras orientable.",1,natural,none,négatif,négatif,absent,absent
en_0479295,en,"Not good...sorry...no difference no good result.

Not like it... I don't see any difference",2,natural,none,négatif,absent,absent,absent
fr_0641460,fr,"cliveuse jetable

a fonctionné convenablement 2 mois, puis ressort sous le capot qui s'est barré, et j'ai cassé le vis de support a l'interieur (juste en vissant) en voulant le remettre, du coup poubelle",2,enriched,service,négatif,absent,absent,absent
fr_0290031,fr,"Ne fonctionne pas

Après démontage, j'ai due refaire toutes les soudures au niveau du boîtier de pile, deux fils n'étaient pas soudés du tout. J'ai un autre problème au niveau de l'interrupteur qui fonctionne de temps en temps mais je n'arrive pas à l'opérer ... à fuir ... J'ai deux autre modèles identiques mais bleus qui ne me posent aucun problème. Je rajoute une étoile (ce qui fait 2) car le vendeur me propose une nouvelle lampe, la suite à la réception.",2,enriched,service,négatif,absent,absent,positif
en_0788120,en,"not reliable

Neat concept. We wanted them for halloween decorations, but almost every night we had to re-set all the lights because they wouldn't go back to the color they were last set to. They also don't actually sync to music so don't expect that to actually happen. for the price I would say wait a couple years for them to actually make this technology work.",2,natural,none,négatif,négatif,absent,absent
en_0402722,en,"It Collapsed. A Frightening Experience.

I purchased this last year and it is out of warranty. The plastic connectors to the support (legs) broke away from the seat and the bench collapsed in my shower. I fell flat on the floor of the shower with the remains of the seat and legs under me. Fortunately I don't think I was hurt badly but I am elderly and it took nearly 40 minutes to get up. Plastic stress? I don't know but it was a frightening experience.",1,enriched,service,négatif,absent,absent,absent
fr_0903386,fr,"article conforme à ma commande

A part un petit retard d'une journée dans la livraison, pour lequel Amazon s'est excusé, je suis très satisfaite de l'article commandé, qui répond à mes attentes, et l'emballage était très bien.",4,enriched,delivery,positif,absent,négatif,positif
en_0872169,en,"Front coverage was good, but back held together with only two hooks

Front coverage was good, but back held together with only two hooks. Disappointed there were not three hooks to support front from sagging. Will continue search to find a bra that supports and covers both front and back, and relieves shoulder strap pressure.",3,enriched,service,négatif,absent,absent,absent
fr_0178518,fr,"Recu rapidement mais ...

Reçu très rapidement, mais depuis qu il est installé sur mon écran, c est un vrai calvaire pour utiliser le tactile / écrire!",2,enriched,delivery,négatif,absent,positif,absent
fr_0363655,fr,"Bon produit.

Je suis contente de cet achat. Bon produit.",4,natural,none,positif,absent,absent,absent
fr_0926288,fr,"Conforme

Livraison rapide produit conforme rigide solide. Je mets 4 étoiles car les boites ont une forte odeur de renfermé mais cela disparaît au bout de quelques jours si vous les laissez à l air libre",4,natural,none,positif,absent,positif,absent
fr_0116072,fr,"Éléments abimés !

Lors de la livraison, un colis était abîmé et du corps quelques pièces du meubles étaient tordus,pliés . Pas satisfait du résultat",1,enriched,delivery,négatif,absent,négatif,absent
en_0495632,en,"like I said he wears them Everyday and they have ...

Sooo my husband wears these every day for work And they are great- however last time we ordered we literally received an unsealed envelop with nothing in it.. that said we called Amazon and they refunded us and told us to order again.. pain In the bottom but, like I said he wears them Everyday and they have been great.",3,enriched,delivery,positif,absent,négatif,positif
fr_0219931,fr,"Très beau

Reçu avec un coup sur le devant. Sinon très beau, très facile à monter.",4,enriched,delivery,positif,absent,négatif,absent
en_0181854,en,"compost bags

These bags serve my purpose pretty well, I don't have much compost so by the end of the week the bag itself tends to decompose and leak sometimes but I line my container with another plastic bag to catch anything that might leak out.",3,natural,none,neutre,absent,absent,absent
en_0078435,en,"Cheaply made

Cheaply made with cardboard and lightweight craft wood. The knobs are a major hazard for little ones. Regret the purchase.",1,natural,none,négatif,absent,absent,absent
fr_0793515,fr,"Mauvaise qualité du silicone

La partie en silicone qui englobe le téléphone est complètement déformé et ne protège pas le téléphone... renvoi à Amazon",1,natural,none,négatif,absent,absent,absent
fr_0149936,fr,"Hygromètre à l'ouest !

Les mesures de l'hygromètre étaient pas cohérentes 20 %. D'où le retour",1,enriched,service,négatif,absent,absent,absent
fr_0628407,fr,"Bon parfum

cela sente bon mais solidifie très vite donc vous pouvez pas bien vous coiffer !",2,natural,none,négatif,absent,absent,absent
en_0660703,en,"Solid and heavy-duty

There’s a little bit of play in the finished product, so be prepared to reset the hammock a few times. Very sturdy, though.",4,natural,none,positif,absent,absent,absent
fr_0059149,fr,"Probleme d'écran rayé récurent

2ème commande de ce modèle, mais l'écran est rempli de micro-rayures. Même problème que pour la première commande : un sachet de protection est dans le carton, mais le lecteur est à côté en vrac. Problème dû au vendeur et non à l'expédition d'Amazon",1,enriched,service,négatif,absent,absent,négatif
en_0737382,en,"fits fine, we'll see if it holds up in field

Just received it and the case looks clean and fits my iPhone 8 fine. I ordered a ""used"" case but it looks unused to me. I work in the forest and will get it battle tested soon enough - and then come back with pics if I see issues. If you can order a used one, save the ten bucks and do it. I do wish it had a flap for the lightening port to keep debris out. I may rig something up for that myself.",3,enriched,delivery,positif,positif,absent,absent
en_0985321,en,"I love the product

I love the product. I hope the packaging will improve though... it seems to be resealable, but not really.... it doesn't work well once it is open.",4,natural,none,positif,absent,absent,absent
en_0894760,en,"Great price and quality

Lots of compliments and questions on where I purchased it from and other available colors..Love my color selection..Great Quality ❤️",5,enriched,price,positif,absent,absent,absent
en_0779921,en,"never received, was told they did not clear customs

never received, was told they did not clear customs",1,enriched,delivery,absent,absent,négatif,absent
en_0626106,en,"You get what you paid for

This case was great looking. It displays the back of the iPhone beautifully. I loved the metallic red trim. Fits my phone nice and snug. Here is the issues that I had. The trims paint chips off too easy. Its been a month and the beautiful red trim is now a chipped red trim. Second, the case is SUPER slippery. Unless you have a pop socket or something, do not lay in bed with the phone above your face. The phone has slipped and hit me on the nose a couple of times. Its a great temporary case",3,natural,none,négatif,neutre,absent,absent
